,short_name,nationality,position,age,wage_eur,value_eur,mentality_positioning,attacking_finishing,movement_reactions,skill_ball_control,power_shot_power,value_pred
0,L. Messi,Argentina,delantero,32,565000,95500000,94,95,95,96,86,73667500.0
1,Cristiano Ronaldo,Portugal,delantero,34,405000,58500000,95,94,96,92,95,64917500.0
2,Neymar Jr,Brazil,delantero,27,290000,105500000,87,87,92,95,80,96277500.0
4,E. Hazard,Belgium,delantero,28,470000,90000000,87,84,90,94,82,89052500.0
9,M. Salah,Egypt,delantero,27,240000,80500000,92,90,92,89,80,74672500.0
10,K. Mbappé,France,delantero,20,155000,93500000,89,89,89,90,83,84695000.0
12,H. Kane,England,delantero,25,220000,83000000,93,94,91,84,90,70925000.0
17,S. Agüero,Argentina,delantero,31,300000,60000000,93,93,92,89,89,61385000.0
19,L. Suárez,Uruguay,delantero,32,355000,53000000,92,91,92,84,88,57902500.0
20,R. Lewandowski,Poland,delantero,30,235000,64500000,91,88,90,88,87,64822500.0
22,A. Griezmann,France,delantero,28,370000,69000000,90,89,92,90,82,73675000.0
26,R. Sterling,England,delantero,24,255000,73000000,91,83,89,88,76,70955000.0
34,E. Cavani,Uruguay,delantero,32,195000,47000000,93,88,91,81,88,52755000.0
38,P. Aubameyang,Gabon,delantero,30,205000,57000000,90,89,87,82,82,49765000.0
39,S. Mané,Senegal,delantero,27,220000,62000000,90,87,90,87,84,69230000.0
41,Bernardo Silva,Portugal,delantero,24,210000,64000000,85,78,85,92,74,56125000.0
43,H. Son,Korea Republic,delantero,26,185000,60000000,88,86,89,87,88,63370000.0
46,K. Benzema,France,delantero,31,285000,45000000,88,84,85,90,82,37880000.0
48,D. Mertens,Belgium,delantero,32,135000,40000000,87,86,88,89,80,45627500.0
54,L. Insigne,Italy,delantero,28,140000,52000000,85,77,84,93,79,49825000.0
55,L. Sané,Germany,delantero,23,195000,61000000,84,81,81,85,87,49482500.0
63,Roberto Firmino,Brazil,delantero,27,170000,52000000,87,85,86,88,81,40857500.0
66,A. Di María,Argentina,delantero,31,150000,39000000,84,76,82,86,83,36472500.0
68,Coutinho,Brazil,delantero,27,175000,46500000,84,77,82,91,82,43685000.0
71,C. Immobile,Italy,delantero,29,105000,44500000,91,87,87,83,86,42345000.0
72,A. Lacazette,France,delantero,28,165000,46000000,87,87,86,86,86,37312500.0
89,R. Lukaku,Belgium,delantero,26,115000,46000000,86,84,84,70,87,11680000.0
93,M. Icardi,Argentina,delantero,26,115000,46000000,92,89,85,80,84,38870500.0
96,Z. Ibrahimović,Sweden,delantero,37,15000,14000000,91,86,82,84,90,22400000.0
98,G. Higuaín,Argentina,delantero,31,175000,34500000,90,88,86,84,86,36257500.0
100,G. Bale,Wales,delantero,29,250000,37500000,85,84,80,84,92,27885000.0
104,Iago Aspas,Spain,delantero,31,49000,34500000,86,88,85,85,79,29697500.0
110,O. Dembélé,France,delantero,22,195000,42500000,78,79,78,85,83,21060000.0
116,M. Depay,Netherlands,delantero,25,110000,40500000,83,78,79,85,87,26645000.0
138,E. Džeko,Bosnia Herzegovina,delantero,33,75000,19500000,89,88,83,85,86,27115000.0
141,M. Mandžukić,Croatia,delantero,33,160000,19500000,90,85,88,79,83,27275000.0
153,J. Iličić,Slovenia,delantero,31,92000,28000000,83,81,83,88,88,31992500.0
154,R. Mahrez,Algeria,delantero,28,195000,31500000,79,77,77,90,79,27751500.0
161,L. Jović,Serbia,delantero,21,155000,36500000,84,86,83,83,83,33025000.0
162,A. Milik,Poland,delantero,25,91000,35000000,85,88,77,81,86,28587500.0
163,A. Martial,France,delantero,23,140000,34500000,82,82,80,86,84,31897500.0
171,M. Rashford,England,delantero,21,125000,35500000,84,81,81,83,88,33250000.0
175,T. Werner,Germany,delantero,23,70000,34500000,85,86,86,84,79,32877500.0
178,Marco Asensio,Spain,delantero,23,180000,34000000,81,78,78,87,86,28997500.0
183,Borja Iglesias,Spain,delantero,26,41000,32500000,84,86,78,80,83,18285500.0
185,W. Zaha,Ivory Coast,delantero,26,89000,32000000,78,78,77,87,81,23397500.0
186,Paco Alcácer,Spain,delantero,25,105000,32000000,86,86,85,82,82,27152500.0
187,Morata,Spain,delantero,26,80000,32000000,85,81,80,82,80,27295000.0
188,S. Haller,France,delantero,25,120000,32000000,84,85,84,80,81,18291000.0
197,Lucas Moura,Brazil,delantero,26,130000,31000000,82,82,81,83,79,26542500.0
198,F. Thauvin,France,delantero,26,60000,30500000,84,80,83,84,83,29475000.0
205,F. Quagliarella,Italy,delantero,36,46000,9500000,87,89,84,84,90,31537500.0
207,Falcao,Colombia,delantero,33,64000,16500000,90,86,82,81,78,20760000.0
209,C. Vela,Mexico,delantero,30,17000,24500000,84,85,83,85,76,25520000.0
214,Diego Costa,Spain,delantero,30,80000,25000000,84,85,83,82,83,23777500.0
217,M. Kruse,Germany,delantero,31,105000,23500000,85,84,85,86,81,26742500.0
228,Rodrigo,Spain,delantero,28,60000,27000000,83,80,82,82,83,24212500.0
230,W. Ben Yedder,France,delantero,28,67000,27000000,89,88,83,84,81,27625000.0
233,A. Kramarić,Croatia,delantero,28,61000,27000000,84,86,83,85,83,32320000.0
234,Louri Beretta,Brazil,delantero,27,60000,27500000,83,85,84,74,85,21827500.0
236,Ronaldo Cabrais,Brazil,delantero,27,51000,27000000,82,74,84,83,82,24197500.0
237,Oyarzabal,Spain,delantero,22,39000,31000000,80,86,81,84,80,27425000.0
238,L. Bailey,Jamaica,delantero,21,65000,30500000,80,75,80,82,79,25180000.0
239,Gabriel Jesus,Brazil,delantero,22,140000,31000000,86,84,85,85,78,24627500.0
241,A. Belotti,Italy,delantero,25,63000,30000000,85,88,76,75,81,25226000.0
247,S. Bergwijn,Netherlands,delantero,21,22000,30000000,78,74,81,85,83,28462500.0
254,Iñaki Williams,Spain,delantero,25,36000,29000000,84,83,80,77,85,23009500.0
255,H. Lozano,Mexico,delantero,23,26000,29000000,81,76,83,81,76,15360000.0
261,Suso,Spain,delantero,25,56000,27000000,76,70,78,89,78,25042500.0
270,M. Götze,Germany,delantero,27,98000,26000000,84,78,86,90,78,35037500.0
273,Willian José,Brazil,delantero,27,44000,26000000,87,84,81,80,84,20460000.0
276,K. Volland,Germany,delantero,26,85000,26500000,82,84,82,79,87,24857500.0
288,Aduriz,Spain,delantero,38,29000,8000000,87,83,85,82,82,13310000.0
296,O. Giroud,France,delantero,32,140000,17500000,84,83,84,83,85,26590000.0
298,Willian,Brazil,delantero,30,140000,21000000,79,77,80,82,84,19285000.0
300,M. Arnautović,Austria,delantero,30,29000,21500000,83,78,78,85,84,21271500.0
301,A. Sánchez,Chile,delantero,30,150000,21000000,82,76,79,84,83,14649000.0
304,M. Balotelli,Italy,delantero,28,27000,23000000,78,83,68,85,86,20207000.0
307,B. Dost,Netherlands,delantero,30,23000,21500000,88,86,82,75,82,20402500.0
309,Pedro,Spain,delantero,31,140000,19500000,82,78,81,85,77,19462500.0
310,L. de Jong,Netherlands,delantero,28,29000,23000000,86,82,83,77,84,16007500.0
311,S. El Shaarawy,Italy,delantero,26,29000,24000000,82,80,72,86,74,21103000.0
313,X. Shaqiri,Switzerland,delantero,27,120000,23000000,74,71,80,84,87,23349000.0
316,C. Bakambu,DR Congo,delantero,28,34000,23000000,85,84,81,82,84,22017500.0
318,K. Bellarabi,Germany,delantero,29,89000,21500000,77,73,82,84,85,22172500.0
320,Q. Promes,Netherlands,delantero,27,32000,23000000,77,80,80,81,82,20787500.0
321,J. Vardy,England,delantero,32,115000,17500000,86,85,83,74,85,18303500.0
322,D. Zapata,Colombia,delantero,28,80000,23000000,86,87,76,81,86,22102125.0
323,Morales,Spain,delantero,31,39000,20000000,84,83,83,84,79,25730000.0
329,L. Martínez,Argentina,delantero,21,61000,27000000,82,82,78,82,79,23070000.0
340,David Neres,Brazil,delantero,22,26000,24000000,78,76,79,86,74,20796500.0
348,J. Martínez,Venezuela,delantero,26,14000,22500000,85,84,81,79,81,21317500.0
353,A. Plea,France,delantero,26,41000,22000000,83,82,81,79,83,20736000.0
354,Y. Poulsen,Denmark,delantero,25,65000,22000000,86,80,81,76,74,8981375.0
367,Gerard Moreno,Spain,delantero,27,45000,21000000,80,80,78,80,80,18817500.0
368,W. Weghorst,Netherlands,delantero,26,62000,21000000,85,84,82,78,84,20626500.0
372,L. López,Argentina,delantero,36,25000,6500000,84,86,77,82,82,13795000.0
373,B. Gomis,France,delantero,33,56000,11000000,79,84,78,79,84,13490000.0
383,K. Gameiro,France,delantero,32,48000,14000000,85,80,81,78,82,15625500.0
393,S. Giovinco,Italy,delantero,32,56000,14000000,83,78,83,86,80,18440000.0
401,E. Zahavi,Israel,delantero,31,25000,16000000,83,86,79,83,79,16460000.0
403,Lucas Vázquez,Spain,delantero,28,180000,18000000,82,72,85,81,80,16505000.0
405,M. Acuña,Argentina,delantero,27,21000,18500000,77,66,80,85,83,25327500.0
409,L. Dálves,Uruguay,delantero,27,0,0,81,82,83,73,84,5358500.0
410,S. Mandíquez,Ecuador,delantero,30,0,0,82,83,73,76,86,5269500.0
411,João Félix,Portugal,delantero,19,38000,28000000,84,79,83,80,82,24324500.0
421,K. Piątek,Poland,delantero,24,44000,20500000,86,86,76,76,80,19558000.0
422,Diogo Jota,Portugal,delantero,22,84000,20500000,82,77,81,84,82,19880000.0
430,M. Dembélé,France,delantero,22,71000,20000000,82,81,77,79,80,18386500.0
432,Santi Mina,Spain,delantero,23,29000,20000000,83,82,79,79,80,18500000.0
434,J. Correa,Argentina,delantero,24,53000,20000000,77,77,77,86,78,20487500.0
438,M. Gómez,Uruguay,delantero,22,40000,20000000,85,84,78,78,79,18158000.0
449,Loren,Spain,delantero,25,31000,19500000,80,81,79,79,81,17947500.0
454,Deulofeu,Spain,delantero,25,78000,19000000,78,74,75,86,75,17144500.0
461,A. Rebić,Croatia,delantero,25,44000,19000000,79,79,78,78,85,16385000.0
463,M. Almirón,Paraguay,delantero,25,52000,18500000,74,73,79,81,78,17491500.0
473,C. Wilson,England,delantero,27,81000,17500000,83,83,78,77,77,14620000.0
479,Portu,Spain,delantero,27,38000,17500000,80,81,71,83,80,15555000.0
481,H. Çalhanoğlu,Turkey,delantero,25,48000,17500000,75,65,78,86,86,20795000.0
482,M. Dabbur,Israel,delantero,27,24000,17500000,85,83,80,79,76,16482500.0
488,W. Rooney,England,delantero,33,13000,9500000,80,80,82,80,85,21582500.0
490,Nani,Portugal,delantero,32,13000,11500000,77,68,75,87,85,13465125.0
494,A. Gignac,France,delantero,33,88000,9500000,81,83,78,72,84,10595500.0
495,Jorge Molina,Spain,delantero,37,25000,5500000,85,85,85,81,83,12910000.0
501,Charles,Brazil,delantero,35,25000,7000000,87,81,80,81,83,22527500.0
510,I. Piatti,Argentina,delantero,34,13000,7500000,82,81,81,84,84,15747500.0
522,D. Perotti,Argentina,delantero,30,54000,14000000,78,66,76,88,73,15024500.0
523,L. Pratto,Argentina,delantero,31,33000,13500000,81,78,79,79,86,15032500.0
528,L. Stindl,Germany,delantero,30,39000,14500000,84,79,84,82,81,17743500.0
529,F. Smolov,Russia,delantero,29,1000,15000000,84,82,74,78,80,13307000.0
541,Sergi Enrich,Spain,delantero,29,34000,15000000,84,82,82,81,77,16067500.0
544,L. Muriel,Colombia,delantero,28,69000,15500000,81,78,80,83,80,16752500.0
547,S. Berghuis,Netherlands,delantero,27,21000,15500000,72,75,78,83,83,16126500.0
552,S. Zaza,Italy,delantero,28,59000,15500000,81,79,78,79,85,14982500.0
555,R. Jiménez,Mexico,delantero,28,99000,15500000,83,80,78,76,80,11454500.0
561,Mata,Spain,delantero,30,33000,14500000,84,84,84,78,78,14258500.0
562,M. Marega,Mali,delantero,28,20000,15500000,84,80,77,66,84,12468500.0
568,Vinícius Jr.,Brazil,delantero,18,60000,22500000,76,68,77,82,74,19447500.0
577,F. Chiesa,Italy,delantero,21,48000,18500000,76,70,78,81,81,18157500.0
