,short_name,nationality,club,age,wage_eur,value_eur,defending_standing_tackle,dribbling,movement_reactions,movement_reactions,attacking_short_passing,mentality_vision,value_pred
5,K. De Bruyne,Belgium,Manchester City,28,370000,90000000,58,86.0,91,91,92,94,76462500.0
8,L. Modrić,Croatia,Real Madrid,33,340000,45000000,76,89.0,89,89,92,91,46017500.0
15,N. Kanté,France,Chelsea,28,235000,66000000,91,81.0,93,93,86,79,55000000.0
21,Sergio Busquets,Spain,FC Barcelona,30,300000,55000000,86,80.0,87,87,89,86,50595000.0
23,P. Dybala,Argentina,Juventus,25,215000,76500000,48,90.0,84,84,87,87,65695000.0
24,P. Pogba,France,Manchester United,26,250000,72500000,67,85.0,82,82,86,88,57067500.0
27,C. Eriksen,Denmark,Tottenham Hotspur,27,205000,68000000,57,84.0,88,88,91,92,58807500.0
33,David Silva,Spain,Manchester City,33,265000,36000000,53,89.0,89,89,92,91,45210000.0
36,T. Kroos,Germany,Real Madrid,29,330000,57000000,70,81.0,87,87,91,89,45797500.0
37,M. Reus,Germany,Borussia Dortmund,30,170000,56000000,37,87.0,87,87,86,86,51772500.0
42,Casemiro,Brazil,Real Madrid,27,240000,53500000,87,72.0,86,86,83,77,43610000.0
44,Fernandinho,Brazil,Manchester City,34,200000,19500000,86,78.0,89,89,86,78,31057500.0
52,Thiago,Spain,FC Bayern München,28,180000,50000000,67,90.0,86,86,90,86,50217500.0
58,M. Verratti,Italy,Paris Saint-Germain,26,140000,54500000,82,90.0,85,85,90,87,54072500.0
62,Isco,Spain,Real Madrid,27,245000,51000000,64,91.0,76,76,84,87,35425000.0
64,I. Rakitić,Croatia,FC Barcelona,31,245000,38000000,73,81.0,80,80,86,85,25945000.0
65,M. Pjanić,Bosnia Herzegovina,Juventus,29,180000,42500000,76,85.0,84,84,91,88,44562500.0
69,Parejo,Spain,Valencia CF,30,69000,41000000,68,79.0,78,78,91,86,16580000.0
70,T. Müller,Germany,FC Bayern München,29,170000,43500000,57,78.0,91,91,81,85,35921000.0
75,F. de Jong,Netherlands,FC Barcelona,22,195000,52000000,75,87.0,87,87,90,86,45417500.0
78,S. Milinković-Savić,Serbia,Lazio,24,73000,50500000,77,83.0,80,80,85,85,39467500.0
79,Rodri,Spain,Manchester City,23,150000,47000000,84,77.0,82,82,85,82,39347500.0
80,Saúl,Spain,Atlético Madrid,24,77000,49500000,78,81.0,82,82,85,82,41997500.0
81,Fabinho,Brazil,Liverpool,25,125000,45000000,86,77.0,84,84,83,78,21970000.0
85,Bruno Fernandes,Portugal,Sporting CP,24,24000,49000000,64,85.0,84,84,86,88,48935000.0
95,H. Ziyech,Morocco,Ajax,26,39000,45000000,56,83.0,84,84,86,89,42815000.0
97,A. Gómez,Argentina,Atalanta,31,92000,34000000,30,86.0,81,81,81,85,28470833.333333336
99,B. Matuidi,France,Juventus,32,145000,25000000,84,78.0,84,84,83,74,24490000.0
102,A. Witsel,Belgium,Borussia Dortmund,30,110000,31500000,85,79.0,85,85,89,80,29647500.0
105,Koke,Spain,Atlético Madrid,27,88000,40500000,78,82.0,87,87,89,85,43690000.0
106,J. Rodríguez,Colombia,Real Madrid,27,225000,40500000,41,86.0,84,84,86,86,42220000.0
107,Allan,Brazil,Napoli,28,110000,38000000,88,84.0,89,89,86,80,44710000.0
108,J. Sancho,England,Borussia Dortmund,19,61000,44500000,45,90.0,84,84,83,83,40347500.0
109,K. Havertz,Germany,Bayer 04 Leverkusen,20,70000,46000000,46,84.0,82,82,85,82,28517500.0
113,D. Alli,England,Tottenham Hotspur,23,115000,41500000,70,82.0,86,86,84,83,38035000.0
115,Arthur,Brazil,FC Barcelona,22,180000,41000000,76,86.0,83,83,88,86,41420000.0
117,L. Goretzka,Germany,FC Bayern München,24,120000,40000000,74,81.0,84,84,84,82,32912500.0
118,J. Brandt,Germany,Borussia Dortmund,23,94000,40500000,42,85.0,83,83,86,84,37400000.0
119,K. Coman,France,FC Bayern München,23,120000,40500000,27,87.0,84,84,78,79,38077500.0
120,S. Gnabry,Germany,FC Bayern München,23,120000,39500000,42,86.0,82,82,79,77,33217500.0
121,N. Fekir,France,Real Betis,25,40000,39000000,37,88.0,78,78,83,81,34425000.0
123,Luis Alberto,Spain,Lazio,26,78000,37500000,56,85.0,80,80,88,85,35915000.0
127,Felipe Anderson,Brazil,West Ham United,26,125000,36500000,59,89.0,77,77,81,81,30835000.0
129,João Moutinho,Portugal,Wolverhampton Wanderers,32,125000,23500000,72,82.0,76,76,87,86,21210000.0
132,M. Hamšík,Slovakia,Dalian YiFang FC,31,26000,26500000,70,83.0,88,88,86,86,46940000.0
134,Lucas Leiva,Brazil,Lazio,32,71000,20500000,84,78.0,82,82,82,81,20592500.0
135,M. Özil,Germany,Arsenal,30,125000,29500000,16,84.0,83,83,89,90,36737500.0
136,Javi Martínez,Spain,FC Bayern München,30,125000,25500000,86,63.0,85,85,76,74,21162000.0
139,G. Wijnaldum,Netherlands,Liverpool,28,140000,31000000,78,84.0,83,83,85,78,29360000.0
140,I. Perišić,Croatia,FC Bayern München,30,135000,29500000,52,82.0,79,79,78,76,23872500.0
142,A. Vidal,Chile,FC Barcelona,32,205000,23500000,87,78.0,86,86,82,82,36167500.0
145,José Callejón,Spain,Napoli,32,96000,24000000,32,83.0,82,82,80,78,14609583.333333332
146,I. Gündoğan,Germany,Manchester City,28,180000,31000000,74,84.0,85,85,88,86,34992500.0
147,Paulinho,Brazil,Guangzhou Evergrande Taobao FC,30,43000,29000000,79,80.0,82,82,83,79,25075000.0
149,Canales,Spain,Real Betis,28,44000,31500000,47,81.0,81,81,84,87,28500000.0
150,Douglas Costa,Brazil,Juventus,28,155000,31500000,38,91.0,80,80,83,80,32730000.0
151,Pizzi,Portugal,SL Benfica,29,26000,30500000,66,81.0,83,83,86,86,35817500.0
152,D. Tadić,Serbia,Ajax,30,36000,29500000,34,85.0,84,84,85,88,34527500.0
155,E. Višća,Bosnia Herzegovina,Medipol Başakşehir FK,29,67000,30500000,40,83.0,80,80,83,79,25960000.0
157,Fabián,Spain,Napoli,23,76000,36000000,78,83.0,83,83,81,84,23682500.0
159,G. Lo Celso,Argentina,Tottenham Hotspur,23,105000,35000000,67,85.0,82,82,83,85,32760000.0
164,Anderson Talisca,Brazil,Guangzhou Evergrande Taobao FC,25,38000,34500000,59,81.0,79,79,81,81,14781000.0
166,C. Tolisso,France,FC Bayern München,24,110000,34000000,78,78.0,83,83,84,80,28260000.0
168,Gonçalo Guedes,Portugal,Valencia CF,22,46000,34500000,34,84.0,83,83,77,77,23428833.33333333
169,N. Pépé,Ivory Coast,Arsenal,24,97000,34500000,27,85.0,83,83,75,80,30453333.333333336
173,A. Rabiot,France,Juventus,24,120000,33000000,81,80.0,83,83,85,80,27132500.0
176,T. Lemar,France,Atlético Madrid,23,64000,34000000,59,85.0,79,79,84,84,31155000.0
180,J. Draxler,Germany,Paris Saint-Germain,25,100000,32500000,64,86.0,81,81,84,82,29797500.0
182,Y. Carrasco,Belgium,Dalian YiFang FC,25,23000,32500000,39,87.0,82,82,75,71,29603333.33333333
189,William Carvalho,Portugal,Real Betis,27,35000,27500000,80,74.0,74,74,81,81,21332000.0
190,F. Bernardeschi,Italy,Juventus,25,130000,31500000,54,87.0,80,80,85,82,30442500.0
192,Oscar,Brazil,Shanghai SIPG FC,27,29000,29500000,52,81.0,81,81,86,83,26000000.0
195,Pablo Sarabia,Spain,Paris Saint-Germain,27,105000,29500000,54,84.0,77,77,83,84,26620000.0
199,Jorginho,Italy,Chelsea,27,140000,29000000,77,81.0,81,81,89,87,36130000.0
212,R. Nainggolan,Belgium,Cagliari,31,51000,22500000,86,83.0,85,85,84,76,24417500.0
