,short_name,nationality,club,age,wage_eur,value_eur,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,value_pred
3,J. Oblak,Slovenia,Atlético Madrid,26,125000,77500000,87.0,92.0,78.0,89.0,52.0,90.0,69245000.0
6,M. ter Stegen,Germany,FC Barcelona,27,250000,67500000,88.0,85.0,88.0,90.0,45.0,88.0,61540000.0
13,Alisson,Brazil,Liverpool,26,155000,58000000,85.0,84.0,85.0,89.0,51.0,90.0,58937500.0
14,De Gea,Spain,Manchester United,28,205000,56000000,90.0,84.0,81.0,92.0,58.0,85.0,55280000.0
25,Ederson,Brazil,Manchester City,25,185000,54500000,86.0,82.0,93.0,88.0,63.0,86.0,53782500.0
28,T. Courtois,Belgium,Real Madrid,27,235000,48000000,85.0,89.0,72.0,87.0,49.0,85.0,42692500.0
30,S. Handanovič,Slovenia,Inter,34,110000,26000000,88.0,85.0,69.0,89.0,53.0,89.0,32687500.0
31,M. Neuer,Germany,FC Bayern München,33,155000,32000000,87.0,87.0,91.0,87.0,57.0,85.0,33685000.0
32,H. Lloris,France,Tottenham Hotspur,32,150000,36000000,89.0,82.0,68.0,91.0,63.0,84.0,35032500.0
53,K. Navas,Costa Rica,Real Madrid,32,195000,30500000,90.0,81.0,75.0,90.0,53.0,82.0,31695000.0
60,W. Szczęsny,Poland,Juventus,29,135000,37500000,85.0,82.0,73.0,88.0,49.0,86.0,35852500.0
74,G. Donnarumma,Italy,Milan,20,34000,41500000,90.0,80.0,74.0,90.0,50.0,80.0,38545000.0
86,A. Lopes,Portugal,Olympique Lyonnais,28,88000,33500000,87.0,80.0,75.0,89.0,64.0,84.0,33047500.0
87,P. Gulácsi,Hungary,RB Leipzig,29,69000,31000000,84.0,86.0,81.0,86.0,43.0,84.0,30917500.0
88,R. Bürki,Switzerland,Borussia Dortmund,28,92000,32000000,86.0,80.0,74.0,89.0,50.0,83.0,33052500.0
91,Neto,Brazil,FC Barcelona,29,175000,31000000,86.0,81.0,79.0,82.0,54.0,82.0,30512500.0
111,Kepa,Spain,Chelsea,24,92000,31000000,84.0,82.0,86.0,85.0,33.0,80.0,30357500.0
122,B. Leno,Germany,Arsenal,27,91000,26000000,83.0,81.0,78.0,85.0,56.0,84.0,25492500.0
125,J. Pavlenka,Czech Republic,SV Werder Bremen,27,37000,26000000,86.0,79.0,70.0,88.0,36.0,80.0,28825000.0
130,S. Ruffier,France,AS Saint-Étienne,32,41000,19000000,82.0,84.0,75.0,82.0,48.0,85.0,19887500.0
131,S. Sirigu,Italy,Torino,32,54000,19000000,84.0,80.0,76.0,82.0,51.0,84.0,18802500.0
137,Y. Sommer,Switzerland,Borussia Mönchengladbach,30,37000,21000000,79.0,85.0,81.0,87.0,51.0,80.0,19497500.0
167,Pau López,Spain,Roma,24,38000,26000000,82.0,83.0,79.0,84.0,49.0,82.0,25435000.0
181,J. Pickford,England,Everton,25,78000,24000000,82.0,78.0,87.0,86.0,48.0,82.0,21867500.0
184,K. Casteels,Belgium,VfL Wolfsburg,27,50000,22000000,83.0,79.0,79.0,83.0,45.0,82.0,21602500.0
193,K. Trapp,Germany,Eintracht Frankfurt,28,42000,21500000,82.0,77.0,79.0,85.0,49.0,83.0,20890000.0
196,J. Cillessen,Netherlands,Valencia CF,30,39000,20000000,82.0,83.0,78.0,83.0,52.0,81.0,20155000.0
200,G. Buffon,Italy,Juventus,41,58000,2600000,78.0,77.0,74.0,80.0,33.0,91.0,3453500.0
